character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Pichu,Aerial Attacks,Up B (Agility),**,53/70,24,"Total frames is for one/two dashes ending on the ground. 0.9 base recoil damage on first dash, and 1.4 on second. Can grab ledges as early as frame 14.",--,--,--,--,--,(No Hitbox),--
Pichu,Aerial Attacks,Down B (Thunder),9,86/66,--,First total frames is if the bolt misses. Invulnerable on frame 26-35 if bolt hits and incurs 4.2 base recoil damage,6.0/4.0/14.0,8/15,2/13,Spike/Late Bolt/Self-Hit,-27,Bolt 1: 9-11/12-67 | Bolt 2: 16—18/19—74,12
Pichu,Aerial Attacks,Grab,6,31,--,--,--,,,,,6—7,24
Pichu,Aerial Attacks,Dash Grab,8,39,--,--,--,,,,,8—9,30
Pichu,Aerial Attacks,Pivot Grab,9,36,--,--,--,,,,,9—10,26
Pichu,Aerial Attacks,Pummel,1,18,--,0.1 base recoil damage. Total frames includes 13 frames of hitlag,1.4,,,,,,
Pichu,Aerial Attacks,Forward Throw,11/15/19/23/27,43,--,0.5 base recoil damage,1.5/6.0,,,,,,
Pichu,Aerial Attacks,Backward Throw,26,49,--,--,9.0,,,,,,
Pichu,Aerial Attacks,Up Throw,14/15,35,--,--,5.0/5.0,,,,,,
Pichu,Aerial Attacks,Down Throw,14/19,39,--,--,4.0/4.0,,,,,,
Pichu,Aerial Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Pichu,Aerial Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Pichu,Aerial Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Pichu,Aerial Attacks,Neutral Air Dodge,,42,10,Intangible on frame 2-26,,,,,,,
Pichu,Aerial Attacks,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Aerial Attacks,"Air Dodge, Diagonally Down",,65,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Aerial Attacks,"Air Dodge, Left/Right",,70,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Aerial Attacks,"Air Dodge, Diagonally Up",,80,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Aerial Attacks,"Air Dodge, Up",,88,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Aerial Attacks,Stats,,,,,,,,,,,
Pichu,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Pichu,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Pichu,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Pichu,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Pichu,Special Attacks,Neutral B (Thunderjolt),18,51,--,"0.8 base recoil damage. Grounded has a life of 84 frames, aerial 100.",10.0/7.0—5.0,12/10—9,4/3—3,Projectile/Arc,-29/-30,18—47/48—77/78—101,--
Pichu,Special Attacks,Side B (Skull Bash),17,96/86,--,25 on hit endlag. Second total frames is from the air. Startup is 5 from charge release. 2.1 base recoil damage.,4.0—33.0,8—18,5—28,--,-20 to +3,17—52 (4—39 on charge release),44
Pichu,Special Attacks,Up B (Agility),**,53/70,24,"Total frames is for one/two dashes ending on the ground. 0.9 base recoil damage on first dash, and 1.4 on second. Can grab ledges as early as frame 14.",--,--,--,--,--,(No Hitbox),--
Pichu,Special Attacks,Down B (Thunder),9,86/66,--,First total frames is if the bolt misses. Invulnerable on frame 26-35 if bolt hits and incurs 4.2 base recoil damage,6.0/4.0/14.0,8/15,2/13,Spike/Late Bolt/Self-Hit,-27,Bolt 1: 9-11/12-67 | Bolt 2: 16—18/19—74,12
Pichu,Special Attacks,Grab,6,31,--,--,--,,,,,6—7,24
Pichu,Special Attacks,Dash Grab,8,39,--,--,--,,,,,8—9,30
Pichu,Special Attacks,Pivot Grab,9,36,--,--,--,,,,,9—10,26
Pichu,Special Attacks,Pummel,1,18,--,0.1 base recoil damage. Total frames includes 13 frames of hitlag,1.4,,,,,,
Pichu,Special Attacks,Forward Throw,11/15/19/23/27,43,--,0.5 base recoil damage,1.5/6.0,,,,,,
Pichu,Special Attacks,Backward Throw,26,49,--,--,9.0,,,,,,
Pichu,Special Attacks,Up Throw,14/15,35,--,--,5.0/5.0,,,,,,
Pichu,Special Attacks,Down Throw,14/19,39,--,--,4.0/4.0,,,,,,
Pichu,Special Attacks,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Pichu,Special Attacks,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Pichu,Special Attacks,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Pichu,Special Attacks,Neutral Air Dodge,,42,10,Intangible on frame 2-26,,,,,,,
Pichu,Special Attacks,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Special Attacks,"Air Dodge, Diagonally Down",,65,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Special Attacks,"Air Dodge, Left/Right",,70,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Special Attacks,"Air Dodge, Diagonally Up",,80,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Special Attacks,"Air Dodge, Up",,88,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Special Attacks,Stats,,,,,,,,,,,
Pichu,Special Attacks,Ledge Grab,,,,,,,,,,,
Pichu,Special Attacks,Ledge Hang,,,,,,,,,,,
Pichu,Special Attacks,Ledge Roll,,,,,,,,,,,
Pichu,Special Attacks,Getup Attacks,,,,,,,,,,,
Pichu,Grabs / Throws,Grab,6,31,--,--,--,,,,,6—7,24
Pichu,Grabs / Throws,Dash Grab,8,39,--,--,--,,,,,8—9,30
Pichu,Grabs / Throws,Pivot Grab,9,36,--,--,--,,,,,9—10,26
Pichu,Grabs / Throws,Pummel,1,18,--,0.1 base recoil damage. Total frames includes 13 frames of hitlag,1.4,,,,,,
Pichu,Grabs / Throws,Forward Throw,11/15/19/23/27,43,--,0.5 base recoil damage,1.5/6.0,,,,,,
Pichu,Grabs / Throws,Backward Throw,26,49,--,--,9.0,,,,,,
Pichu,Grabs / Throws,Up Throw,14/15,35,--,--,5.0/5.0,,,,,,
Pichu,Grabs / Throws,Down Throw,14/19,39,--,--,4.0/4.0,,,,,,
Pichu,Grabs / Throws,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Pichu,Grabs / Throws,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Pichu,Grabs / Throws,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Pichu,Grabs / Throws,Neutral Air Dodge,,42,10,Intangible on frame 2-26,,,,,,,
Pichu,Grabs / Throws,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Grabs / Throws,"Air Dodge, Diagonally Down",,65,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Grabs / Throws,"Air Dodge, Left/Right",,70,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Grabs / Throws,"Air Dodge, Diagonally Up",,80,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Grabs / Throws,"Air Dodge, Up",,88,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Grabs / Throws,Stats,,,,,,,,,,,
Pichu,Grabs / Throws,Ledge Grab,,,,,,,,,,,
Pichu,Grabs / Throws,Ledge Hang,,,,,,,,,,,
Pichu,Grabs / Throws,Ledge Roll,,,,,,,,,,,
Pichu,Grabs / Throws,Getup Attacks,,,,,,,,,,,
Pichu,Dodges / Rolls,Spot Dodge,,19/24,--,Intangible on frame 3-16,,,,,,,
Pichu,Dodges / Rolls,Forward Roll,,28,--,Intangible on frame 4-14,,,,,,,
Pichu,Dodges / Rolls,Backward Roll,,33,--,Intangible on frame 4-15,,,,,,,
Pichu,Dodges / Rolls,Neutral Air Dodge,,42,10,Intangible on frame 2-26,,,,,,,
Pichu,Dodges / Rolls,"Air Dodge, Down",,60,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Dodges / Rolls,"Air Dodge, Diagonally Down",,65,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Dodges / Rolls,"Air Dodge, Left/Right",,70,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Dodges / Rolls,"Air Dodge, Diagonally Up",,80,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Dodges / Rolls,"Air Dodge, Up",,88,11-19,Intangible on frame 2-19,,,,,,,
Pichu,Dodges / Rolls,Stats,,,,,,,,,,,
Pichu,Dodges / Rolls,Ledge Grab,,,,,,,,,,,
Pichu,Dodges / Rolls,Ledge Hang,,,,,,,,,,,
Pichu,Dodges / Rolls,Ledge Roll,,,,,,,,,,,
Pichu,Dodges / Rolls,Getup Attacks,,,,,,,,,,,
Pichu,Misc Info,Stats,,,,,,,,,,,
Pichu,Misc Info,Ledge Grab,,,,,,,,,,,
Pichu,Misc Info,Ledge Hang,,,,,,,,,,,
Pichu,Misc Info,Ledge Roll,,,,,,,,,,,
Pichu,Misc Info,Getup Attacks,,,,,,,,,,,
