character,section,move,startup,total_frames,landing_lag,notes,damage,shield_lag,shield_stun,hitbox_type,advantage_on_shield,active_frames,end_lag
Steve,Ground Attacks,Up B (Elytra),28 (Ground) / 23 (Air),--,**,--,**,**,**,--,**,28—37/38—44 (Ground) // 23—32/33—39 (Air),--
Steve,Ground Attacks,Down B (TNT),**,**,--,**,28.0/14.0,**,**,--,**,**,--
Steve,Ground Attacks,Grab,13,56,--,--,--,,,,,13—27,29
Steve,Ground Attacks,Dash Grab,16,62,--,--,--,,,,,16—30,32
Steve,Ground Attacks,Pivot Grab,17,59,--,--,--,,,,,17—31,28
Steve,Ground Attacks,Pummel,1,20,--,Total frames includes 14 frames of hitlag.,1.5,,,,,,
Steve,Ground Attacks,Forward Throw,13(14),49,--,Throw hitbox on 13-14. Throws on 14.,3.0/6.0,,,,,,
Steve,Ground Attacks,Backward Throw,24,34,--,--,10.0,,,,,,
Steve,Ground Attacks,Up Throw,18(19),47,--,Throw hitbox on 18-19. Throws on 19.,3.0/8.0,,,,,,
Steve,Ground Attacks,Down Throw,15(20),29,--,"Anvil active 15—22 but throws on frame 20. Without iron, the data is identical except for anvil's absense.",7.0/8.0 (anvil) // (8.0 no anvil),,,,,,
Steve,Ground Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Steve,Ground Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Steve,Ground Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Steve,Ground Attacks,Neutral Air Dodge,,54,**,Intangible on frame 3-30,,,,,,,
Steve,Ground Attacks,"Air Dodge, Down",,75,**,Intangible on frame 3-21,,,,,,,
Steve,Ground Attacks,"Air Dodge, Diagonally Down",,82,**,Intangible on frame 3-21,,,,,,,
Steve,Ground Attacks,"Air Dodge, Left/Right",,92,**,Intangible on frame 3-21,,,,,,,
Steve,Ground Attacks,"Air Dodge, Diagonally Up",,108,**,Intangible on frame 3-21,,,,,,,
Steve,Ground Attacks,"Air Dodge, Up",,121,**,Intangible on frame 3-21,,,,,,,
Steve,Ground Attacks,Stats,,,,,,,,,,,
Steve,Ground Attacks,Ledge Grab,,,,,,,,,,,
Steve,Ground Attacks,Ledge Hang,,,,,,,,,,,
Steve,Ground Attacks,Ledge Roll,,,,,,,,,,,
Steve,Ground Attacks,Getup Attacks,,,,,,,,,,,
Steve,Aerial Attacks,Neutral Air,4 (Gold: 3),17 (Gold: 15),--,"Steve can walk, jump, and double jump during this move. Identical to Jab. No autocancel window.",2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4),**,**,Fist/wood/stone/iron/diamond (Gold),-10 (Gold: -9),4—6 (Gold: 3—5),11
Steve,Aerial Attacks,Forward Air,8,31/28,12,"Frame 8 is a weak hit, frame 9 is a weak spike, frames 10-11 are a stronger spike. Autocancels on frame 1-2 and 20 onward (Gold autocancels 1-4 and 19 onward).",(W/S/I/D/P/G) (Early|Late) : 10.5%|12.0%/11.55%|13.2%/12.6%|14.4%/14.175%|16.2%/8.4%|9.6%/10.5%|12.0%,Punch 10/11 | Wood 11/12 | Stone 12/13 | Iron 13/14 | Gold 11/12 | Diamond 14/15,Punch 4/4 | Wood 5/5 | Stone 5/5 | Iron 5/5 | Gold 4/5 | Diamond 5/6,Early/Late,Punch -8/-8 | Wood -8/-7 | Stone -7/-7 | Iron -7/-7 | Gold -8/-7 | Diamond -7/-6,8—9/10—12 (Punch) // 8/9/10—12 (All Pickaxes),--
Steve,Aerial Attacks,Sword Forward Air (Short Hop Macro FAir),4 (Gold: 3),16 (Gold: 14),-- (can only be done rising),Only occurs out of a short hop macro. Shares frame data with jab but uses a sword instead of a pickaxe. No autocancel window.,2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4),5/5/5/5/6,2/2/2/2/2,Fist/wood/stone/iron/diamond (Gold),-- (can only be done rising),4—6 (Gold: 3—5),10
Steve,Aerial Attacks,Back Air,12,47/41,12,Late hit is stronger. Autocancels on frame 1-4 and 22 onward (Gold autocancels 1-4 and 21 onward).,(W/S/I/D/P/G) (Early|Late) : 11.5%|13.0%/12.65%|14.3%/13.8%|15.6%/15.525%|17.55%/9.2%|10.4%/11.5%|13.0%,Punch 11/11 | Wood 12/13 | Stone 13/14 | Iron 14/15 | Gold 12/13 | Diamond 15/16,Punch 4/4 | Wood 5/5 | Stone 5/5 | Iron 5/6 | Gold 5/5 | Diamond 6/6,Early/Late,Punch -8/-8 | Wood -7/-7 | Stone -7/-7 | Iron -7/-6 | Gold -7/-7 | Diamond -6/-6,12—13/14—16,31
Steve,Aerial Attacks,Sword Back Air (Short Hop Macro BAir),4 (Gold: 3),16 (Gold: 14),-- (can only be done rising),Only occurs out of a short hop macro. Shares frame data with jab but uses a sword instead of a pickaxe. No autocancel window.,2.7 / 3.4 / 3.7 / 4.0 / 4.5 (Gold: 3.4),5/5/5/5/6,2/2/2/2/2,Fist/wood/stone/iron/diamond (Gold),-- (can only be done rising),4—6 (Gold: 3—5),10
Steve,Aerial Attacks,Up Air,4 (Gold: 4),13 (Gold: 11),10,Gold is same startup but fewer total frames. Up Air is much faster overall than Up Tilt. This character is weird and makes no sense. Autocancels on frame 1 and 14 onward (Gold autocancels on frame 1 and 12 onward).,(W/S/I/D/P/G) : 6.5%/7.15%/7.8%/8.775%/5.2%/6.5%,6/6/7/7/7 (6),6/7/7/8/9 (7),Fist/wood/stone/iron/diamond (Gold),Punch -4 | Wood -3 | Stone -3 | Iron -2 | Gold -1 | Diamond -1,4—8,5
Steve,Aerial Attacks,Down Air,20,59,18,"Frame 25 is the earliest you can jump off (plus a 3 frame jumpsquat). If Steve lacks the materials, he has a 19 frame failure animation instead. Landing hit on frame 1 (whether or not Steve is still standing on it). Landing lag and advantage assumes Steve still is standing on it.",18.0/10.0,--,--,Normal/Projectile,-14,**,--
Steve,Aerial Attacks,Summon Crafting Table,**,7,--,"Steve can use Crafting Table during shield and this ignores shield drop. Crafting Table's 7 frame startup is all that occurs, so he can effectively have a 7 frame shield drop by doing Crafting Table out of shield.",**,**,**,**,**,**,--
Steve,Aerial Attacks,Neutral B (Mine),**,45 (Diamond: 56),--,"Durability of tools: 28(wood)/34(stone)/38(iron)/28(gold)/38(diamond). For a list of durability loss, checkMeshima's Tweet. For even more information, check@robthemechon / @Chesometer's tweet for a full overview of mining!. It takes 56 frames to craft diamond, 45 for anything else.",--,--,--,--,--,--,--
Steve,Aerial Attacks,Place Block,4,15,--,"Block DurabilityDirtBlock, on stage: 400 framesBlock, on stage, standing on: 70 framesBlock, off stage: 120 framesBlock, off stage, standing on: 35 framesWoodBlock, on stage: 600 framesBlock, on stage, standing on: 95 framesBlock, off stage: 190 framesBlock, off stage, standing on: 40 framesStoneBlock, on stage: 800 framesBlock, on stage, standing on: 120 framesBlock, off stage: 240 framesBlock, off stage, standing on: 50 framesIronBlock, on stage: 1000 framesBlock, on stage, standing on: 145 framesBlock, off stage: 275 framesBlock, off stage, standing on: 55 framesThanks toA_Vocaloid_Nerdfor thisBlock Durability Info.",--,--,--,--,--,--,--
Steve,Aerial Attacks,Side B (Minecart),18,**,**,"If Steve lacks the materials, he has a 15 frame failure animation instead. Damage depends on current speed. If traveling too slow, there's no hitbox. For Bailout, the jumping out animation is 5 frames before Steve can act. On frame 6 is when the cart can grab opponents. Armor notes: the minecart has 8.4HP and Steve himself has 60 knockback armor. The part of the armor that's hitpoint based can't drop to 0 during the first 17 frames.",**,**,**,--,**,18—...,--
Steve,Aerial Attacks,Up B (Elytra),28 (Ground) / 23 (Air),--,**,--,**,**,**,--,**,28—37/38—44 (Ground) // 23—32/33—39 (Air),--
Steve,Aerial Attacks,Down B (TNT),**,**,--,**,28.0/14.0,**,**,--,**,**,--
Steve,Aerial Attacks,Grab,13,56,--,--,--,,,,,13—27,29
Steve,Aerial Attacks,Dash Grab,16,62,--,--,--,,,,,16—30,32
Steve,Aerial Attacks,Pivot Grab,17,59,--,--,--,,,,,17—31,28
Steve,Aerial Attacks,Pummel,1,20,--,Total frames includes 14 frames of hitlag.,1.5,,,,,,
Steve,Aerial Attacks,Forward Throw,13(14),49,--,Throw hitbox on 13-14. Throws on 14.,3.0/6.0,,,,,,
Steve,Aerial Attacks,Backward Throw,24,34,--,--,10.0,,,,,,
Steve,Aerial Attacks,Up Throw,18(19),47,--,Throw hitbox on 18-19. Throws on 19.,3.0/8.0,,,,,,
Steve,Aerial Attacks,Down Throw,15(20),29,--,"Anvil active 15—22 but throws on frame 20. Without iron, the data is identical except for anvil's absense.",7.0/8.0 (anvil) // (8.0 no anvil),,,,,,
Steve,Aerial Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Steve,Aerial Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Steve,Aerial Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Steve,Aerial Attacks,Neutral Air Dodge,,54,**,Intangible on frame 3-30,,,,,,,
Steve,Aerial Attacks,"Air Dodge, Down",,75,**,Intangible on frame 3-21,,,,,,,
Steve,Aerial Attacks,"Air Dodge, Diagonally Down",,82,**,Intangible on frame 3-21,,,,,,,
Steve,Aerial Attacks,"Air Dodge, Left/Right",,92,**,Intangible on frame 3-21,,,,,,,
Steve,Aerial Attacks,"Air Dodge, Diagonally Up",,108,**,Intangible on frame 3-21,,,,,,,
Steve,Aerial Attacks,"Air Dodge, Up",,121,**,Intangible on frame 3-21,,,,,,,
Steve,Aerial Attacks,Stats,,,,,,,,,,,
Steve,Aerial Attacks,Ledge Grab,,,,,,,,,,,
Steve,Aerial Attacks,Ledge Hang,,,,,,,,,,,
Steve,Aerial Attacks,Ledge Roll,,,,,,,,,,,
Steve,Aerial Attacks,Getup Attacks,,,,,,,,,,,
Steve,Special Attacks,Summon Crafting Table,**,7,--,"Steve can use Crafting Table during shield and this ignores shield drop. Crafting Table's 7 frame startup is all that occurs, so he can effectively have a 7 frame shield drop by doing Crafting Table out of shield.",**,**,**,**,**,**,--
Steve,Special Attacks,Neutral B (Mine),**,45 (Diamond: 56),--,"Durability of tools: 28(wood)/34(stone)/38(iron)/28(gold)/38(diamond). For a list of durability loss, checkMeshima's Tweet. For even more information, check@robthemechon / @Chesometer's tweet for a full overview of mining!. It takes 56 frames to craft diamond, 45 for anything else.",--,--,--,--,--,--,--
Steve,Special Attacks,Place Block,4,15,--,"Block DurabilityDirtBlock, on stage: 400 framesBlock, on stage, standing on: 70 framesBlock, off stage: 120 framesBlock, off stage, standing on: 35 framesWoodBlock, on stage: 600 framesBlock, on stage, standing on: 95 framesBlock, off stage: 190 framesBlock, off stage, standing on: 40 framesStoneBlock, on stage: 800 framesBlock, on stage, standing on: 120 framesBlock, off stage: 240 framesBlock, off stage, standing on: 50 framesIronBlock, on stage: 1000 framesBlock, on stage, standing on: 145 framesBlock, off stage: 275 framesBlock, off stage, standing on: 55 framesThanks toA_Vocaloid_Nerdfor thisBlock Durability Info.",--,--,--,--,--,--,--
Steve,Special Attacks,Side B (Minecart),18,**,**,"If Steve lacks the materials, he has a 15 frame failure animation instead. Damage depends on current speed. If traveling too slow, there's no hitbox. For Bailout, the jumping out animation is 5 frames before Steve can act. On frame 6 is when the cart can grab opponents. Armor notes: the minecart has 8.4HP and Steve himself has 60 knockback armor. The part of the armor that's hitpoint based can't drop to 0 during the first 17 frames.",**,**,**,--,**,18—...,--
Steve,Special Attacks,Up B (Elytra),28 (Ground) / 23 (Air),--,**,--,**,**,**,--,**,28—37/38—44 (Ground) // 23—32/33—39 (Air),--
Steve,Special Attacks,Down B (TNT),**,**,--,**,28.0/14.0,**,**,--,**,**,--
Steve,Special Attacks,Grab,13,56,--,--,--,,,,,13—27,29
Steve,Special Attacks,Dash Grab,16,62,--,--,--,,,,,16—30,32
Steve,Special Attacks,Pivot Grab,17,59,--,--,--,,,,,17—31,28
Steve,Special Attacks,Pummel,1,20,--,Total frames includes 14 frames of hitlag.,1.5,,,,,,
Steve,Special Attacks,Forward Throw,13(14),49,--,Throw hitbox on 13-14. Throws on 14.,3.0/6.0,,,,,,
Steve,Special Attacks,Backward Throw,24,34,--,--,10.0,,,,,,
Steve,Special Attacks,Up Throw,18(19),47,--,Throw hitbox on 18-19. Throws on 19.,3.0/8.0,,,,,,
Steve,Special Attacks,Down Throw,15(20),29,--,"Anvil active 15—22 but throws on frame 20. Without iron, the data is identical except for anvil's absense.",7.0/8.0 (anvil) // (8.0 no anvil),,,,,,
Steve,Special Attacks,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Steve,Special Attacks,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Steve,Special Attacks,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Steve,Special Attacks,Neutral Air Dodge,,54,**,Intangible on frame 3-30,,,,,,,
Steve,Special Attacks,"Air Dodge, Down",,75,**,Intangible on frame 3-21,,,,,,,
Steve,Special Attacks,"Air Dodge, Diagonally Down",,82,**,Intangible on frame 3-21,,,,,,,
Steve,Special Attacks,"Air Dodge, Left/Right",,92,**,Intangible on frame 3-21,,,,,,,
Steve,Special Attacks,"Air Dodge, Diagonally Up",,108,**,Intangible on frame 3-21,,,,,,,
Steve,Special Attacks,"Air Dodge, Up",,121,**,Intangible on frame 3-21,,,,,,,
Steve,Special Attacks,Stats,,,,,,,,,,,
Steve,Special Attacks,Ledge Grab,,,,,,,,,,,
Steve,Special Attacks,Ledge Hang,,,,,,,,,,,
Steve,Special Attacks,Ledge Roll,,,,,,,,,,,
Steve,Special Attacks,Getup Attacks,,,,,,,,,,,
Steve,Grabs / Throws,Grab,13,56,--,--,--,,,,,13—27,29
Steve,Grabs / Throws,Dash Grab,16,62,--,--,--,,,,,16—30,32
Steve,Grabs / Throws,Pivot Grab,17,59,--,--,--,,,,,17—31,28
Steve,Grabs / Throws,Pummel,1,20,--,Total frames includes 14 frames of hitlag.,1.5,,,,,,
Steve,Grabs / Throws,Forward Throw,13(14),49,--,Throw hitbox on 13-14. Throws on 14.,3.0/6.0,,,,,,
Steve,Grabs / Throws,Backward Throw,24,34,--,--,10.0,,,,,,
Steve,Grabs / Throws,Up Throw,18(19),47,--,Throw hitbox on 18-19. Throws on 19.,3.0/8.0,,,,,,
Steve,Grabs / Throws,Down Throw,15(20),29,--,"Anvil active 15—22 but throws on frame 20. Without iron, the data is identical except for anvil's absense.",7.0/8.0 (anvil) // (8.0 no anvil),,,,,,
Steve,Grabs / Throws,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Steve,Grabs / Throws,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Steve,Grabs / Throws,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Steve,Grabs / Throws,Neutral Air Dodge,,54,**,Intangible on frame 3-30,,,,,,,
Steve,Grabs / Throws,"Air Dodge, Down",,75,**,Intangible on frame 3-21,,,,,,,
Steve,Grabs / Throws,"Air Dodge, Diagonally Down",,82,**,Intangible on frame 3-21,,,,,,,
Steve,Grabs / Throws,"Air Dodge, Left/Right",,92,**,Intangible on frame 3-21,,,,,,,
Steve,Grabs / Throws,"Air Dodge, Diagonally Up",,108,**,Intangible on frame 3-21,,,,,,,
Steve,Grabs / Throws,"Air Dodge, Up",,121,**,Intangible on frame 3-21,,,,,,,
Steve,Grabs / Throws,Stats,,,,,,,,,,,
Steve,Grabs / Throws,Ledge Grab,,,,,,,,,,,
Steve,Grabs / Throws,Ledge Hang,,,,,,,,,,,
Steve,Grabs / Throws,Ledge Roll,,,,,,,,,,,
Steve,Grabs / Throws,Getup Attacks,,,,,,,,,,,
Steve,Dodges / Rolls,Spot Dodge,,20/25,--,Intangible on frame 3-17,,,,,,,
Steve,Dodges / Rolls,Forward Roll,,29,--,Intangible on frame 4-15,,,,,,,
Steve,Dodges / Rolls,Backward Roll,,34,--,Intangible on frame 5-16,,,,,,,
Steve,Dodges / Rolls,Neutral Air Dodge,,54,**,Intangible on frame 3-30,,,,,,,
Steve,Dodges / Rolls,"Air Dodge, Down",,75,**,Intangible on frame 3-21,,,,,,,
Steve,Dodges / Rolls,"Air Dodge, Diagonally Down",,82,**,Intangible on frame 3-21,,,,,,,
Steve,Dodges / Rolls,"Air Dodge, Left/Right",,92,**,Intangible on frame 3-21,,,,,,,
Steve,Dodges / Rolls,"Air Dodge, Diagonally Up",,108,**,Intangible on frame 3-21,,,,,,,
Steve,Dodges / Rolls,"Air Dodge, Up",,121,**,Intangible on frame 3-21,,,,,,,
Steve,Dodges / Rolls,Stats,,,,,,,,,,,
Steve,Dodges / Rolls,Ledge Grab,,,,,,,,,,,
Steve,Dodges / Rolls,Ledge Hang,,,,,,,,,,,
Steve,Dodges / Rolls,Ledge Roll,,,,,,,,,,,
Steve,Dodges / Rolls,Getup Attacks,,,,,,,,,,,
Steve,Misc Info,Stats,,,,,,,,,,,
Steve,Misc Info,Ledge Grab,,,,,,,,,,,
Steve,Misc Info,Ledge Hang,,,,,,,,,,,
Steve,Misc Info,Ledge Roll,,,,,,,,,,,
Steve,Misc Info,Getup Attacks,,,,,,,,,,,
