character,section,move,startup,total_frames,landing_lag,damage,advantage_on_shield,active_frames,notes,shield_lag,shield_stun,hitbox_type,end_lag,misc_raw,oos_options
Bowser,Aerial Attacks,Forward Throw,36,58,--,12.0,,,--,,,,,,
Bowser,Aerial Attacks,Backward Throw,19,38,--,12.0,,,--,,,,,,
Bowser,Aerial Attacks,Up Throw,21/25/29/33/37/41/45/49/57,74,--,0.5/2.0/6.0,,,--,,,,,,
Bowser,Aerial Attacks,Down Throw,35/37,84,--,10.0/4.0,,,--,,,,,,
Bowser,Aerial Attacks,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Bowser,Aerial Attacks,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Bowser,Aerial Attacks,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Bowser,Aerial Attacks,Neutral Air Dodge,,46,10,,,,Intangible on frame 4-32,,,,,,
Bowser,Aerial Attacks,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Aerial Attacks,"Air Dodge, Diagonally Down",,67,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Aerial Attacks,"Air Dodge, Left/Right",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Aerial Attacks,"Air Dodge, Diagonally Up",,88,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Aerial Attacks,"Air Dodge, Up",,95,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Aerial Attacks,Stats,,,,,,,,,,,,,
Bowser,Aerial Attacks,Ledge Grab,,,,,,,,,,,,,
Bowser,Aerial Attacks,Ledge Hang,,,,,,,,,,,,,
Bowser,Aerial Attacks,Ledge Roll,,,,,,,,,,,,,
Bowser,Aerial Attacks,Getup Attacks,,,,,,,,,,,,,
Bowser,Special Attacks,Neutral B (Fire Breath),23/30/37/44...,77,--,1.8,--,23/30/37/44...,Total frames is minimum usage. Endlag is 31 frames on release.,4,2,--,33,,
Bowser,Special Attacks,Side B (Flying Slam),6,52,--,--,--,6,"40 frames endlag after a slam, but can be cancelled by landing on a platform. 23 frames of invulnerability after a successful grab. Whether Bowser or his opponent has more control over the direction of the slam is determined by whoever has less damage.",--,--,--,46,,
Bowser,Special Attacks,Up B (Whirling Fortress),6...,81,18,1.0/6.0,-36,6—38/39 (rehit: 5),--,4/6,2/6,Multi/Final,42,,
Bowser,Special Attacks,"Up B, Air (Whirling Fortress, Air)",6...,--,36,7.0/1.0/2.0,--,6—7/8—11/12—15/16—19/20—23/24—27/28—31/32—35/36—39/40—43/44—47/48—51 (rehit: 5),Mash special button for more height,7/3/6,-/2/3,First/multi/final,--,,
Bowser,Special Attacks,Down B (Bowser Bomb),11/37.../1,66,--,4.0/20.0/11.0,--,11/37.../1—2,Landing hit on frame 1.,5/12/8,5/18/-,Rise/fall/landing,29,,
Bowser,Special Attacks,"Down B, Air (Bowser Bomb, Air)",31.../1,--,55,20.0/11.0,--,31.../1—2,Landing hit on frame 1.,12/8,18/-,Fall/landing,--,,
Bowser,Special Attacks,Grab,8,40,--,--,,8—10,--,,,,30,,
Bowser,Special Attacks,Dash Grab,11,48,--,--,,11—13,--,,,,35,,
Bowser,Special Attacks,Pivot Grab,12,43,--,--,,12—14,--,,,,29,,
Bowser,Special Attacks,Pummel,2,21,--,1.6,,,Total frames include 14 frames of hitlag,,,,,,
Bowser,Special Attacks,Forward Throw,36,58,--,12.0,,,--,,,,,,
Bowser,Special Attacks,Backward Throw,19,38,--,12.0,,,--,,,,,,
Bowser,Special Attacks,Up Throw,21/25/29/33/37/41/45/49/57,74,--,0.5/2.0/6.0,,,--,,,,,,
Bowser,Special Attacks,Down Throw,35/37,84,--,10.0/4.0,,,--,,,,,,
Bowser,Special Attacks,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Bowser,Special Attacks,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Bowser,Special Attacks,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Bowser,Special Attacks,Neutral Air Dodge,,46,10,,,,Intangible on frame 4-32,,,,,,
Bowser,Special Attacks,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Special Attacks,"Air Dodge, Diagonally Down",,67,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Special Attacks,"Air Dodge, Left/Right",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Special Attacks,"Air Dodge, Diagonally Up",,88,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Special Attacks,"Air Dodge, Up",,95,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Special Attacks,Stats,,,,,,,,,,,,,
Bowser,Special Attacks,Ledge Grab,,,,,,,,,,,,,
Bowser,Special Attacks,Ledge Hang,,,,,,,,,,,,,
Bowser,Special Attacks,Ledge Roll,,,,,,,,,,,,,
Bowser,Special Attacks,Getup Attacks,,,,,,,,,,,,,
Bowser,Grabs / Throws,Grab,8,40,--,--,,8—10,--,,,,30,,
Bowser,Grabs / Throws,Dash Grab,11,48,--,--,,11—13,--,,,,35,,
Bowser,Grabs / Throws,Pivot Grab,12,43,--,--,,12—14,--,,,,29,,
Bowser,Grabs / Throws,Pummel,2,21,--,1.6,,,Total frames include 14 frames of hitlag,,,,,,
Bowser,Grabs / Throws,Forward Throw,36,58,--,12.0,,,--,,,,,,
Bowser,Grabs / Throws,Backward Throw,19,38,--,12.0,,,--,,,,,,
Bowser,Grabs / Throws,Up Throw,21/25/29/33/37/41/45/49/57,74,--,0.5/2.0/6.0,,,--,,,,,,
Bowser,Grabs / Throws,Down Throw,35/37,84,--,10.0/4.0,,,--,,,,,,
Bowser,Grabs / Throws,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Bowser,Grabs / Throws,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Bowser,Grabs / Throws,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Bowser,Grabs / Throws,Neutral Air Dodge,,46,10,,,,Intangible on frame 4-32,,,,,,
Bowser,Grabs / Throws,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Grabs / Throws,"Air Dodge, Diagonally Down",,67,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Grabs / Throws,"Air Dodge, Left/Right",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Grabs / Throws,"Air Dodge, Diagonally Up",,88,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Grabs / Throws,"Air Dodge, Up",,95,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Grabs / Throws,Stats,,,,,,,,,,,,,
Bowser,Grabs / Throws,Ledge Grab,,,,,,,,,,,,,
Bowser,Grabs / Throws,Ledge Hang,,,,,,,,,,,,,
Bowser,Grabs / Throws,Ledge Roll,,,,,,,,,,,,,
Bowser,Grabs / Throws,Getup Attacks,,,,,,,,,,,,,
Bowser,Dodges / Rolls,Spot Dodge,,23/28,--,,,,Intangible on frame 3-18,,,,,,
Bowser,Dodges / Rolls,Forward Roll,,32,--,,,,Intangible on frame 4-16,,,,,,
Bowser,Dodges / Rolls,Backward Roll,,37,--,,,,Intangible on frame 5-17,,,,,,
Bowser,Dodges / Rolls,Neutral Air Dodge,,46,10,,,,Intangible on frame 4-32,,,,,,
Bowser,Dodges / Rolls,"Air Dodge, Down",,63,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Dodges / Rolls,"Air Dodge, Diagonally Down",,67,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Dodges / Rolls,"Air Dodge, Left/Right",,75,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Dodges / Rolls,"Air Dodge, Diagonally Up",,88,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Dodges / Rolls,"Air Dodge, Up",,95,11-19,,,,Intangible on frame 4-22,,,,,,
Bowser,Dodges / Rolls,Stats,,,,,,,,,,,,,
Bowser,Dodges / Rolls,Ledge Grab,,,,,,,,,,,,,
Bowser,Dodges / Rolls,Ledge Hang,,,,,,,,,,,,,
Bowser,Dodges / Rolls,Ledge Roll,,,,,,,,,,,,,
Bowser,Dodges / Rolls,Getup Attacks,,,,,,,,,,,,,
Bowser,Misc Info,Stats,,,,,,,,,,,,"Stats Weight — 135 Gravity — 0.125 Walk Speed — 0.901 Run Speed — 1.971 Initial Dash — 2.255 Air Speed — 1.155 Total Air Acceleration — 0.05 SH / FH / SHFF / FHFF Frames — 31 / 45 / 22 / 31 Fall Speed / Fast Fall Speed — 1.77 / 2.832 Out of Shield, Up B — 6 frames Out of Shield, Side B (Air) — 9 frames Out of Shield, Neutral Air — 11 frames Shield Grab (Grab, post-Shieldstun) — 12 frames Shield Drop — 11 frames (universal) Jump Squat (pre-Jump frames) — 3 frames (universal)","[('Up B', '6'), ('Side B (Air)', '9'), ('Neutral Air', '11')]"
Bowser,Misc Info,Ledge Grab,,,,,,,,,,,,Ledge Grab Normal,
Bowser,Misc Info,Ledge Hang,,,,,,,,,,,,Ledge Hang ,
Bowser,Misc Info,Ledge Roll,,,,,,,,,,,,Ledge Roll ,
Bowser,Misc Info,Getup Attacks,,,,,,,,,,,,Getup Attacks Facing UpFacing DownTripLedge,
